,q1AgeBeginCoding,q2Age,q3Gender,q4Education,q5DegreeFocus,q6LearnCodeUni,q6LearnCodeSelfTaught,q6LearnCodeAccelTrain,q8JobLevel,q9CurrentRole,q10Industry,q12JobCritPrefTechStack,q12JobCritCompMission,q12JobCritCompCulture,q12JobCritWorkLifeBal,q12JobCritCompensation,q12JobCritProximity,q12JobCritPerks,q12JobCritSmartPeopleTeam,q12JobCritImpactwithProduct,q12JobCritInterestProblems,q12JobCritFundingandValuation,q12JobCritStability,q12JobCritProfGrowth
58,3,3,0,3,2,1,1,0,2,7,14,0,1,1,0,0,0,0,1,0,0,0,0,0
60,3,4,0,7,1,1,1,0,5,9,14,0,0,1,0,0,0,0,0,1,1,0,0,0
62,2,4,0,5,2,1,1,0,5,9,4,0,0,1,0,1,0,0,0,1,0,0,0,0
63,2,3,0,5,1,1,0,0,2,9,14,0,0,1,1,0,0,0,1,0,0,0,0,0
65,4,5,0,5,1,1,1,1,5,3,14,0,0,0,1,0,0,0,1,0,1,0,0,0
69,3,3,0,7,2,1,1,0,2,3,14,0,0,1,1,0,0,0,1,1,1,0,0,0
70,3,4,0,5,1,0,1,0,5,7,14,0,0,1,0,1,0,0,0,0,0,0,0,1
71,2,5,0,5,2,1,1,0,10,13,20,0,0,0,1,0,0,0,1,0,1,0,0,0
73,3,4,0,5,1,1,0,0,5,4,10,1,0,0,1,1,0,0,0,0,0,0,0,0
74,2,4,0,5,1,1,0,0,8,2,5,0,0,1,0,1,1,0,0,0,0,0,0,0
75,3,4,0,6,1,1,1,0,4,9,14,0,0,0,0,1,0,1,1,0,0,0,0,1
76,2,4,0,6,2,1,1,0,8,8,14,0,0,0,0,0,1,0,0,0,1,0,0,1
77,3,4,0,7,1,1,1,0,5,7,14,1,0,0,0,0,1,0,0,1,0,0,0,0
78,2,5,0,7,1,1,1,0,5,3,14,0,0,0,1,1,0,0,0,0,0,0,0,1
79,2,4,0,3,1,0,1,0,5,3,14,0,1,1,0,0,0,0,0,0,0,0,0,1
80,3,4,0,5,1,1,1,0,6,4,14,0,0,1,1,1,1,1,1,1,1,1,0,0
81,3,4,0,1,0,0,1,0,5,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0
86,2,4,0,5,0,0,1,0,5,4,14,1,0,1,0,0,0,0,0,1,0,0,0,0
92,3,3,0,7,0,0,1,0,4,4,20,0,0,0,1,1,0,0,0,0,1,0,0,0
94,5,4,1,5,0,0,1,1,4,4,5,0,0,1,0,0,0,0,1,0,0,0,0,1
95,3,4,0,5,0,1,1,0,8,4,5,1,0,1,0,0,0,0,0,0,1,0,0,0
96,7,5,0,2,0,0,1,0,4,4,5,0,0,0,1,1,0,0,0,0,1,0,0,0
97,3,4,0,3,0,1,1,0,5,2,17,0,1,0,0,0,0,0,1,1,0,0,0,0
102,4,4,0,5,0,0,0,1,4,3,10,0,0,1,1,1,0,0,0,0,0,0,0,0
103,4,4,0,5,0,0,1,0,4,9,10,0,0,0,1,1,0,0,1,0,0,0,0,0
117,2,4,0,5,1,1,1,0,5,4,14,0,0,0,1,0,0,0,0,0,1,0,0,1
118,3,3,1,5,1,1,1,0,5,9,20,0,1,0,0,1,0,0,0,1,0,0,0,0
119,3,3,0,5,2,1,1,0,2,9,14,0,0,1,0,1,0,0,0,1,0,0,0,0
121,3,4,0,7,1,1,1,0,4,4,12,1,0,1,0,0,0,0,0,1,1,0,0,1
122,3,4,1,7,1,1,1,1,4,5,1,0,0,0,0,1,0,0,0,0,1,0,0,1
125,3,3,0,4,1,1,1,0,2,2,5,1,0,0,0,0,1,0,1,0,1,0,0,0
128,8,6,0,5,2,0,1,1,4,4,8,0,0,1,1,0,1,0,0,0,0,0,0,0
129,3,5,0,7,1,0,1,0,5,9,14,0,0,0,1,0,0,0,1,0,0,0,0,1
131,4,4,0,7,1,1,1,0,5,2,0,1,0,1,1,1,0,1,1,0,1,0,0,1
132,3,3,0,3,2,1,1,0,2,10,0,0,0,1,0,0,0,0,1,0,1,0,0,0
133,3,4,0,5,2,1,1,0,4,4,2,0,0,1,1,1,0,0,0,0,0,0,0,0
134,3,3,1,5,1,1,1,0,4,9,10,0,1,1,0,0,0,0,1,0,0,0,0,0
135,4,4,0,5,2,1,1,0,4,5,5,0,1,0,0,0,0,0,1,0,0,0,0,1
137,2,3,0,6,2,1,1,0,4,2,6,0,1,1,1,1,1,0,1,0,1,0,0,1
138,4,4,0,3,1,0,1,1,4,2,7,1,0,0,0,0,0,0,0,0,1,0,0,1
147,4,4,0,5,2,0,1,1,4,1,8,1,0,0,0,1,1,0,0,0,0,0,0,0
149,3,4,0,7,1,0,1,1,5,2,14,0,0,0,0,1,0,1,0,0,1,0,0,0
153,4,4,0,3,2,0,1,0,5,13,14,0,0,1,0,0,0,0,1,0,1,0,0,0
155,5,4,0,4,2,1,1,1,10,4,0,0,1,0,1,1,1,0,1,1,1,0,0,1
158,4,4,0,5,1,1,0,0,6,3,10,1,0,0,1,1,0,1,1,0,1,0,0,1
159,2,4,0,7,1,0,1,0,5,9,14,0,0,0,0,0,0,0,1,1,1,0,0,0
160,3,4,0,3,1,1,1,0,5,2,5,0,0,1,1,1,0,0,0,0,0,0,0,0
162,4,4,0,5,1,1,1,0,5,4,7,1,0,1,1,0,0,0,0,0,1,0,0,0
163,1,4,0,6,1,1,1,1,5,7,10,0,0,0,0,1,1,0,0,0,1,0,0,0
166,3,4,1,5,2,1,1,0,6,9,0,0,0,1,0,1,0,0,0,0,1,0,0,0
167,3,3,1,6,1,1,0,1,4,2,10,0,1,1,1,0,0,0,0,0,0,0,0,0
168,2,5,1,5,2,1,0,0,2,1,14,0,0,1,1,0,1,0,0,0,0,0,0,0
169,3,4,0,6,2,0,1,0,4,6,5,1,0,0,1,0,1,0,0,0,0,0,0,0
170,2,3,0,5,1,1,1,0,4,9,10,0,0,0,0,1,0,0,1,0,1,0,0,0
172,2,4,0,7,1,1,1,0,4,7,4,0,0,0,0,1,0,0,0,0,0,0,1,1
180,3,4,1,5,2,1,1,1,4,4,7,1,0,1,0,0,0,0,0,0,0,0,0,1
181,2,4,0,6,2,0,1,0,5,2,14,1,0,0,0,1,0,0,0,1,0,0,0,0
184,4,5,1,7,1,1,0,0,5,2,10,0,0,0,1,1,0,0,0,0,0,0,1,0
186,3,5,0,7,1,1,1,0,5,4,14,1,1,1,1,1,1,1,1,1,1,1,0,1
187,4,4,0,3,2,0,1,0,4,2,5,0,0,1,1,1,0,0,0,0,0,0,0,0
188,3,4,1,5,2,0,1,0,4,4,10,0,0,1,0,0,0,0,1,0,1,0,0,0
190,5,4,1,7,1,1,1,0,2,19,12,0,0,0,1,0,1,0,0,0,0,0,0,1
191,3,4,0,7,2,1,0,0,5,3,14,0,0,1,0,1,0,0,0,0,1,0,0,0
192,2,5,0,3,1,0,1,0,7,3,10,0,0,0,1,1,0,0,0,0,1,0,0,0
194,3,4,0,7,1,1,0,0,5,13,5,1,0,0,1,0,1,0,0,0,0,0,0,1
197,4,4,0,5,2,0,1,0,5,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0
198,3,3,0,5,2,1,0,0,5,4,2,0,0,0,1,1,0,0,0,0,0,0,0,1
199,6,5,0,7,2,0,1,0,8,1,8,0,0,1,0,1,0,0,0,0,1,0,0,0
200,4,4,0,1,1,1,1,0,5,9,13,0,0,0,0,1,0,0,1,1,0,0,0,0
202,3,4,1,7,1,1,0,0,5,4,14,1,0,1,0,0,0,0,0,0,0,0,0,1
206,4,4,0,7,2,0,1,0,4,4,5,1,0,0,0,1,0,0,0,0,1,0,0,0
207,3,4,0,7,1,0,0,0,4,4,4,0,0,1,1,0,0,0,0,0,1,0,0,0
208,2,5,0,7,1,1,1,0,5,9,14,1,0,0,1,1,0,0,0,0,0,0,0,0
209,4,4,0,5,2,0,1,0,4,1,5,1,0,0,1,0,0,0,0,0,0,0,0,1
210,4,5,0,7,1,0,1,1,5,19,7,0,0,0,1,0,1,0,1,0,0,0,0,1
213,4,4,0,2,2,0,1,1,4,3,14,1,1,0,1,1,0,0,0,0,0,0,0,0
214,3,4,0,6,1,0,1,0,5,2,14,0,0,1,0,0,0,0,1,0,0,0,0,1
216,3,4,0,6,2,1,1,0,5,3,5,1,0,0,0,1,0,0,0,0,0,0,1,1
217,3,4,0,5,1,1,1,0,4,3,5,0,0,0,1,1,1,1,1,0,1,0,0,1
220,3,4,0,5,2,1,0,0,4,3,14,0,0,0,0,1,0,0,0,0,0,0,1,1
223,3,3,0,6,1,0,1,0,4,17,2,0,1,1,0,0,0,0,1,0,0,0,0,0
224,4,6,0,7,1,1,1,0,8,9,8,0,0,0,1,0,0,0,0,0,1,0,0,1
225,6,4,0,7,2,1,1,1,4,9,10,0,0,1,0,0,0,0,0,0,1,0,0,1
227,3,4,0,5,1,1,0,0,5,3,8,0,0,0,1,1,0,0,0,0,1,0,0,0
229,3,5,0,7,1,1,0,0,5,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0
231,4,4,0,7,1,1,0,0,5,3,4,0,0,0,1,1,0,0,1,0,0,0,0,0
233,3,4,0,7,1,0,1,0,5,9,14,0,1,0,0,0,0,0,1,0,1,0,0,0
235,3,4,0,5,2,0,1,0,2,2,14,0,0,0,1,0,0,0,1,0,0,0,0,1
237,4,6,1,7,2,1,1,1,5,4,14,0,0,0,1,1,0,0,0,1,0,0,0,0
241,3,3,0,6,1,1,1,0,4,9,14,0,0,1,0,0,0,1,0,0,1,0,0,0
242,3,4,0,7,2,1,0,0,5,13,5,0,0,0,1,1,0,0,1,0,1,0,0,0
244,3,4,0,5,1,0,1,0,2,7,14,0,0,1,1,1,0,1,0,1,1,0,0,1
245,1,5,0,5,1,1,1,0,10,7,14,0,0,0,0,0,0,0,0,1,0,0,0,0
246,5,4,1,5,2,1,1,0,4,2,14,1,0,1,1,0,0,0,0,0,0,0,0,0
248,2,3,0,7,1,1,1,0,4,9,12,0,0,0,1,1,0,0,1,0,0,0,0,0
249,3,3,0,5,1,0,1,0,5,4,14,1,0,0,1,0,0,0,1,0,0,0,0,0
250,3,4,0,7,1,1,1,0,5,2,10,0,0,1,0,0,0,0,1,1,0,0,0,1
256,3,3,0,5,1,1,1,0,4,4,14,0,0,0,0,1,0,0,1,0,0,0,0,1
264,3,3,0,5,1,1,0,0,4,9,5,0,0,1,1,0,0,0,0,0,0,0,0,1
268,3,3,0,5,1,1,0,0,4,2,14,0,0,0,0,1,0,0,0,0,1,0,0,1
273,4,3,0,5,1,0,1,0,4,9,14,0,0,0,1,0,0,0,1,0,0,0,0,1
277,3,3,0,5,1,0,1,0,4,4,14,0,0,1,0,0,0,0,1,0,1,0,0,0
279,3,4,0,7,1,1,1,0,4,9,0,0,0,0,1,1,0,1,0,0,0,0,0,0
288,3,3,0,5,1,0,1,0,4,9,14,0,0,0,0,0,0,0,0,0,0,0,0,1
293,1,3,0,2,1,0,1,0,5,4,14,1,1,1,1,1,0,1,1,0,0,1,0,1
294,3,3,0,5,1,1,1,0,4,9,14,0,0,0,1,1,0,0,0,0,1,0,0,0
296,3,3,0,7,1,1,0,0,2,9,14,1,0,0,1,0,0,0,1,0,0,0,0,1
297,3,3,0,5,1,0,1,0,5,11,14,1,1,0,0,0,0,0,1,0,0,0,0,0
301,3,4,0,5,1,1,0,0,5,4,5,0,1,0,0,0,0,0,1,1,0,0,0,0
302,3,3,0,5,1,1,1,0,4,9,14,1,0,0,0,1,0,0,0,1,0,0,0,0
310,3,4,0,5,1,0,1,0,5,9,14,1,0,0,0,0,0,0,0,0,1,0,0,1
312,3,4,0,7,1,1,1,0,6,4,14,1,1,0,1,1,0,0,1,0,0,0,0,0
314,3,4,0,5,1,0,1,0,5,4,17,0,0,1,0,0,0,0,1,0,1,0,0,0
318,3,4,1,5,1,1,0,0,5,4,12,1,0,0,1,1,1,0,0,0,0,0,0,0
330,3,3,0,5,1,1,1,0,5,9,14,0,0,0,1,1,0,0,1,0,0,0,0,1
332,4,3,0,5,2,0,1,1,4,4,14,1,0,0,0,0,0,0,0,1,0,0,0,1
333,3,3,0,7,1,0,1,0,4,3,14,0,0,0,0,1,0,1,1,0,1,0,0,1
337,4,4,0,5,1,1,1,0,5,2,14,0,0,0,1,0,0,0,0,0,1,0,0,1
339,2,4,0,7,2,1,1,0,4,9,9,0,0,0,1,0,1,0,0,0,1,0,0,0
343,2,4,0,6,1,1,1,0,5,4,11,0,1,1,0,0,0,0,0,0,0,0,0,1
348,2,4,0,7,1,1,1,0,4,13,14,0,0,0,1,0,0,0,1,0,0,0,0,1
349,2,4,0,5,1,1,1,0,7,4,5,0,1,0,0,0,0,0,1,0,1,0,0,0
352,4,4,0,6,1,1,1,0,4,3,0,1,0,1,1,0,0,1,1,0,1,0,0,1
353,1,4,0,3,1,0,0,0,5,9,5,0,1,0,0,0,0,0,1,0,1,0,0,0
359,3,4,0,5,2,0,1,0,5,9,14,0,0,1,1,1,0,0,1,0,1,0,1,0
360,2,4,0,5,2,1,1,0,5,2,14,1,0,0,1,1,0,0,0,0,0,0,0,0
361,3,4,0,5,1,1,0,0,5,3,5,0,0,1,0,0,0,0,0,1,1,0,0,0
362,2,4,0,5,1,1,0,0,5,4,15,0,0,0,0,0,0,0,1,0,1,0,0,1
365,3,5,0,6,1,1,1,1,5,9,14,0,0,1,1,0,0,0,1,0,0,0,0,0
366,2,4,0,7,1,0,0,1,10,17,14,0,1,1,1,0,0,0,1,1,0,0,0,1
370,2,3,0,5,2,1,0,0,4,7,14,1,0,0,1,1,0,0,0,0,0,0,0,0
371,2,4,0,7,1,0,1,0,5,4,12,1,0,1,1,0,0,0,1,0,0,0,0,1
373,4,4,0,5,1,1,1,0,8,2,14,0,0,0,0,1,0,0,1,1,0,0,0,0
377,5,4,0,5,1,1,1,0,5,7,14,1,0,1,1,1,1,0,0,0,1,0,0,0
379,2,5,0,5,1,0,1,0,5,9,14,0,0,1,1,0,0,0,1,1,1,0,0,1
380,3,3,0,5,1,1,0,0,4,9,8,0,0,1,0,1,0,0,0,0,1,0,0,0
381,2,5,0,7,1,1,0,0,7,4,10,0,0,0,1,1,0,0,0,0,0,0,0,1
384,2,4,0,5,2,1,0,0,5,4,4,0,1,1,1,1,0,0,1,1,1,0,0,1
385,3,4,0,2,1,0,1,0,5,2,16,0,0,0,0,1,0,0,1,1,1,0,0,1
387,4,6,0,5,1,0,1,0,5,4,14,1,0,0,1,1,0,0,0,0,0,0,0,0
389,3,4,0,5,1,1,1,0,5,1,14,0,0,0,1,0,0,0,0,0,1,0,0,1
391,2,5,0,7,1,1,0,0,8,9,4,0,0,1,0,0,0,0,1,0,1,0,0,0
392,2,4,0,5,1,1,1,0,5,3,14,0,0,1,1,1,0,0,0,0,0,0,0,1
393,3,3,0,5,1,1,1,0,4,2,12,1,0,1,1,0,0,0,0,0,0,0,0,0
394,1,3,0,5,1,1,1,1,4,2,12,1,0,1,1,0,0,0,0,1,0,0,0,1
395,3,3,0,5,1,0,1,0,2,9,14,0,0,0,0,1,0,0,0,0,0,0,0,0
396,3,3,0,5,1,1,1,0,2,1,14,0,1,0,0,0,0,0,0,0,1,0,0,1
400,3,4,0,5,1,1,1,0,4,4,14,0,0,1,0,0,0,0,0,0,1,0,0,1
401,3,3,1,5,1,1,0,0,4,4,14,0,1,1,0,0,0,0,0,0,0,0,0,1
402,1,4,0,5,2,1,1,0,8,2,9,0,0,0,0,0,0,0,1,0,1,0,0,1
403,4,4,0,5,2,0,0,1,4,2,12,1,0,0,0,1,0,0,0,1,0,0,0,0
404,3,5,0,5,2,1,1,0,5,4,5,1,0,1,1,0,1,0,0,0,0,1,0,0
408,1,5,0,6,1,0,1,0,10,11,14,1,0,0,0,0,0,0,1,0,1,0,0,0
409,4,4,0,5,1,1,1,0,5,9,19,0,0,0,0,0,0,1,1,0,0,0,0,1
412,4,4,0,5,1,1,1,0,2,9,14,0,0,1,0,1,0,0,1,0,0,0,0,0
414,3,3,0,5,1,1,1,0,5,4,8,1,0,0,0,1,0,0,1,0,0,0,0,0
415,2,3,1,5,1,1,1,0,5,2,5,0,0,1,0,0,0,0,1,0,0,0,0,1
417,3,4,0,5,1,1,1,0,4,9,8,0,0,1,0,0,0,0,0,0,1,0,0,1
418,2,2,0,5,1,0,1,0,4,3,14,1,1,1,1,1,0,0,1,1,1,0,0,1
423,3,4,0,7,2,1,1,0,10,11,14,1,0,1,0,0,0,0,0,1,0,0,0,0
429,3,3,0,5,1,1,1,0,5,9,15,0,1,1,0,1,0,0,1,1,1,0,0,1
430,3,4,0,5,1,1,0,0,7,4,5,1,0,0,1,1,0,0,0,0,0,0,0,0
431,3,4,0,5,1,1,0,0,5,4,14,0,1,1,0,1,0,0,0,0,0,0,0,0
433,2,4,0,5,2,1,1,0,5,2,5,0,0,1,1,1,0,0,0,0,0,0,0,0
434,2,4,0,7,1,1,1,0,5,3,5,0,0,0,1,0,0,0,0,0,1,0,0,1
437,3,4,0,5,1,1,1,0,5,3,14,1,0,0,1,1,0,0,0,0,0,0,0,0
439,2,3,0,7,2,0,1,0,2,1,5,1,0,0,1,1,0,0,0,0,0,0,0,0
440,2,4,0,5,1,1,1,0,4,3,8,0,0,1,1,0,0,0,0,0,0,0,1,1
451,2,3,0,5,1,1,1,0,4,9,14,0,0,0,1,0,0,0,0,0,1,0,0,1
452,3,3,1,5,1,1,0,0,2,4,17,0,0,1,1,1,0,0,0,0,0,0,0,0
457,2,5,0,7,1,1,1,0,5,3,14,0,0,1,0,0,0,0,1,1,0,0,0,0
458,3,3,0,5,1,1,0,0,4,3,14,1,0,0,0,0,0,0,0,0,1,0,0,1
462,3,4,0,7,1,1,1,0,8,2,10,0,0,1,0,0,0,0,1,0,0,0,0,1
463,4,4,0,5,1,1,0,0,6,4,0,0,0,1,1,1,1,0,0,1,0,0,0,1
465,3,4,0,6,1,1,0,0,4,2,14,0,0,0,1,0,0,0,0,0,1,0,0,1
467,3,3,0,5,1,1,1,0,4,4,14,0,0,1,1,0,0,0,0,0,1,0,0,1
470,4,4,1,5,2,0,1,0,4,4,14,0,0,0,1,1,0,0,0,0,0,0,0,1
471,4,3,0,5,1,1,0,0,4,9,14,1,0,1,0,0,0,0,0,1,0,0,0,0
475,2,3,0,5,2,1,1,0,4,1,14,0,0,0,1,1,0,0,1,0,0,0,0,0
477,3,3,0,5,1,1,0,0,4,9,9,0,1,0,1,1,0,0,0,0,0,0,0,0
479,4,5,0,6,2,0,1,0,4,2,5,1,0,0,0,1,0,0,0,0,0,0,0,1
481,3,3,0,5,1,1,0,0,5,4,14,1,0,0,1,1,0,0,0,0,0,0,0,1
483,1,5,0,5,1,1,1,0,10,9,14,1,0,0,1,1,0,0,0,0,0,0,0,0
484,2,4,0,7,2,1,0,0,5,7,14,0,0,1,0,1,0,0,1,0,0,0,0,0
485,3,4,0,5,2,1,1,0,6,11,2,1,0,1,0,0,0,0,1,0,0,0,0,0
488,5,5,0,4,0,0,1,1,8,8,14,1,0,1,1,0,0,0,0,0,0,0,0,0
489,2,5,1,5,0,0,1,0,5,4,14,0,0,0,1,1,1,0,0,0,0,0,0,0
491,3,6,0,7,2,1,0,0,6,9,3,0,0,0,0,0,0,0,1,0,1,0,0,1
492,5,4,0,7,2,1,0,0,5,6,14,1,1,1,1,1,1,1,1,1,1,1,0,1
493,2,5,0,5,1,1,1,0,5,9,8,0,0,0,1,0,0,0,0,1,0,0,0,1
494,4,4,0,6,1,1,1,1,5,9,3,1,1,0,0,0,0,0,0,0,1,0,0,0
497,4,4,0,7,1,1,1,0,5,9,1,1,0,0,1,0,0,0,1,0,1,0,0,1
499,1,5,0,3,1,0,1,0,10,11,5,0,0,0,1,0,0,0,0,1,1,0,0,0
500,2,4,0,7,1,1,0,0,5,17,10,1,0,0,0,1,0,0,0,0,0,0,0,1
501,4,5,0,5,1,1,0,0,5,4,5,0,0,0,1,0,1,0,0,0,0,0,0,1
502,2,4,0,6,1,1,1,0,5,9,0,1,0,0,0,1,0,0,1,0,0,0,0,0
505,3,4,0,5,1,0,0,1,5,9,14,1,0,1,1,1,1,1,1,1,1,1,0,1
506,2,3,0,5,1,0,1,0,4,6,12,0,1,1,1,0,0,0,0,0,0,0,0,0
507,3,4,0,7,1,1,1,0,4,9,14,0,0,1,1,1,0,0,1,0,1,0,0,1
508,3,4,0,5,1,1,1,0,4,9,13,1,1,1,0,0,0,0,1,0,1,0,0,0
510,1,4,0,6,1,1,1,0,6,9,2,1,0,1,0,0,0,0,0,1,0,0,0,0
511,3,4,0,5,0,0,1,0,8,2,10,1,0,0,1,0,0,0,0,0,1,0,0,0
512,3,3,0,2,0,0,1,1,4,12,5,0,0,1,1,0,0,0,1,0,0,0,0,0
514,3,3,1,5,1,1,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1
516,4,3,1,5,2,0,1,1,4,4,14,0,0,0,1,0,0,0,0,0,1,0,0,1
521,3,4,0,6,1,0,1,0,5,4,10,0,1,0,0,0,0,0,1,0,1,0,0,0
523,4,4,0,5,2,0,1,0,5,9,10,0,0,0,1,0,0,0,1,0,1,0,0,0
524,3,3,0,3,1,0,0,1,4,4,14,0,0,0,0,0,0,0,0,0,1,1,0,1
525,5,5,0,3,1,1,0,0,5,4,14,1,0,0,0,0,0,0,0,1,1,0,0,0
526,2,3,1,6,1,1,1,1,2,1,14,0,0,1,1,0,0,0,0,0,0,0,0,1
530,3,3,1,5,1,1,1,0,2,9,14,0,0,0,1,0,0,1,0,0,0,0,0,1
533,2,5,0,7,1,1,1,1,5,4,5,0,0,0,1,1,0,0,0,1,0,0,0,0
540,4,7,0,6,1,1,0,0,5,9,13,0,0,0,1,1,0,0,0,0,1,0,0,0
541,2,5,0,6,1,1,1,0,8,9,5,0,0,0,1,0,0,0,0,0,1,0,0,1
542,3,4,0,5,1,1,1,0,5,4,13,0,0,1,1,1,1,0,0,0,0,0,0,1
552,7,5,0,4,2,0,1,0,5,4,14,0,0,1,1,0,0,0,0,0,1,0,0,0
553,4,4,0,5,2,1,0,0,4,9,3,0,0,0,0,1,1,1,0,0,0,0,0,0
554,1,5,0,6,1,0,0,0,5,11,14,0,0,0,1,1,0,0,0,0,1,0,0,0
555,2,5,0,7,2,1,1,0,6,3,14,0,0,0,0,1,0,0,0,0,1,0,0,1
557,3,6,0,5,1,1,1,0,5,9,3,0,0,0,1,1,0,0,0,0,1,0,0,0
559,2,6,0,3,1,1,1,1,5,9,3,0,0,0,0,0,1,0,0,0,1,0,0,1
561,3,4,0,5,1,1,1,0,5,9,14,0,0,0,0,1,0,0,1,1,0,0,0,0
562,5,4,1,7,2,0,1,0,4,7,14,0,0,0,1,0,1,0,1,0,1,0,1,1
564,3,5,0,5,2,1,1,0,5,2,16,0,0,0,1,0,0,0,1,0,1,0,0,0
565,3,6,0,7,1,1,0,0,5,4,5,0,0,1,0,0,0,0,1,0,1,0,0,0
566,3,5,0,6,1,1,1,0,6,11,5,0,1,0,1,0,0,0,0,0,1,0,0,0
568,1,4,0,5,2,1,1,0,5,9,14,1,0,1,1,1,0,0,0,1,0,0,0,1
569,2,3,0,6,1,1,1,0,5,4,12,0,0,1,0,0,1,0,0,0,0,0,0,1
570,3,4,0,5,1,1,0,0,5,4,14,0,0,0,1,0,0,0,1,0,1,0,0,0
583,2,3,1,5,1,0,1,0,4,1,10,0,0,1,1,0,0,0,0,0,1,0,0,0
595,2,5,0,6,2,0,1,0,5,3,20,1,0,0,0,1,0,0,0,0,0,0,0,1
596,4,4,0,5,2,1,0,0,5,3,12,0,0,0,1,1,0,0,1,0,0,0,0,1
598,3,5,0,6,2,1,1,0,5,9,2,0,0,0,0,0,0,0,1,0,1,0,0,1
606,3,4,0,5,0,1,1,1,4,4,1,0,0,1,1,0,0,0,0,0,0,0,0,1
608,2,4,0,4,1,0,1,0,4,13,14,0,1,1,1,1,0,1,1,1,1,0,0,1
615,3,3,0,2,1,1,1,0,2,2,14,0,0,1,0,1,0,1,1,0,0,0,0,1
621,5,5,0,6,2,0,1,0,5,4,13,0,0,0,1,0,0,0,0,0,0,1,0,1
624,3,3,0,5,1,0,1,0,2,9,14,0,0,0,0,0,0,0,0,0,1,0,1,1
627,3,4,0,5,1,1,0,0,5,4,5,0,0,0,1,0,1,0,0,1,0,0,0,0
628,3,5,0,7,1,1,0,0,5,17,14,0,0,1,0,0,0,0,1,0,0,0,0,1
629,3,4,0,6,1,1,1,0,5,7,0,1,0,1,1,1,0,0,0,0,1,0,0,1
630,3,4,0,7,2,1,1,1,5,9,18,0,1,0,0,1,0,0,0,0,0,0,0,1
632,3,4,0,5,1,1,1,0,5,9,14,0,0,0,1,1,0,0,0,0,1,0,0,0
638,7,5,1,7,2,0,1,0,5,6,10,0,0,0,1,0,1,0,1,0,0,0,0,0
639,4,4,0,5,1,0,1,0,4,3,14,0,0,0,0,0,0,0,1,0,1,0,0,1
640,4,4,0,5,1,0,1,0,4,3,14,0,0,0,0,0,0,0,1,0,1,0,0,1
